Type,num_part,num_dim,steps,warmup,alpha,energy,kin_en,pot_en,acceptance_rate,time
MonteCarlo,1,3,1000,100,0.3,1.736268626,0.4295988979,1.306669728,0.622,0
MonteCarlo,1,3,1000,100,0.34,1.689984264,0.4437337726,1.246250492,0.606,0
MonteCarlo,1,3,1000,100,0.38,1.58941229,0.5254627403,1.063949549,0.581,0
MonteCarlo,1,3,1000,100,0.42,1.541848563,0.58448252,0.9573660431,0.556,0
MonteCarlo,1,3,1000,100,0.46,1.514843964,0.6369535756,0.877890388,0.542,0
MonteCarlo,1,3,1000,100,0.5,1.5,0.7043629656,0.7956370344,0.511,0
MonteCarlo,1,3,1000,100,0.54,1.50148166,0.7892320233,0.7122496371,0.513,0
MonteCarlo,1,3,1000,100,0.58,1.513623114,0.8585974007,0.6550257129,0.479,0
MonteCarlo,1,3,1000,100,0.62,1.543139392,0.9537409387,0.589398453,0.48,0
MonteCarlo,1,3,1000,100,0.66,1.587988436,1.059955617,0.5280328185,0.453,0
MonteCarlo,1,3,1000,100,0.7,1.587295264,1.053227831,0.5340674332,0.445,0
MonteCarlo,5,3,5000,500,0.3,8.547465816,2.223300478,6.324165338,0.611,2
MonteCarlo,5,3,5000,500,0.34,8.099240815,2.520295847,5.578944968,0.5922,2
MonteCarlo,5,3,5000,500,0.38,7.75604108,2.888519584,4.867521496,0.5646,2
MonteCarlo,5,3,5000,500,0.42,7.616795497,3.143984706,4.47281079,0.5428,2
MonteCarlo,5,3,5000,500,0.46,7.503177245,3.576242056,3.926935189,0.5264,2
MonteCarlo,5,3,5000,500,0.5,7.5,3.809688259,3.690311741,0.5126,2
MonteCarlo,5,3,5000,500,0.54,7.530071775,4.105022344,3.425049431,0.4904,2
MonteCarlo,5,3,5000,500,0.58,7.614778541,4.474670152,3.140108389,0.479,2
MonteCarlo,5,3,5000,500,0.62,7.634912256,4.537650826,3.097261429,0.4646,3
MonteCarlo,5,3,5000,500,0.66,7.770938274,4.903128836,2.867809437,0.4554,2
MonteCarlo,5,3,5000,500,0.7,7.942121531,5.277664793,2.664456738,0.4366,2
MonteCarlo,10,3,10000,1000,0.3,16.89803142,4.557357324,12.3406741,0.6049,6
MonteCarlo,10,3,10000,1000,0.34,16.29721294,4.955671012,11.34154193,0.5823,6
MonteCarlo,10,3,10000,1000,0.38,15.44498887,5.868784163,9.576204704,0.5614,6
MonteCarlo,10,3,10000,1000,0.42,15.13806108,6.516929683,8.621131402,0.5436,6
MonteCarlo,10,3,10000,1000,0.46,15.03407712,6.999720865,8.034356256,0.525,6
MonteCarlo,10,3,10000,1000,0.5,15,7.449431284,7.550568716,0.5068,6
MonteCarlo,10,3,10000,1000,0.54,15.04977845,8.137389354,6.9123891,0.4902,6
MonteCarlo,10,3,10000,1000,0.58,15.18739532,8.785182699,6.40221262,0.4756,6
MonteCarlo,10,3,10000,1000,0.62,15.38335462,9.400011283,5.983343338,0.461,6
MonteCarlo,10,3,10000,1000,0.66,15.69911462,10.17529271,5.523821907,0.4405,6
MonteCarlo,10,3,10000,1000,0.7,15.85272011,10.49097022,5.361749888,0.4372,6
MonteCarlo,25,3,25000,2500,0.3,42.17804291,11.43110086,30.74694205,0.60216,19
MonteCarlo,25,3,25000,2500,0.34,40.18921828,12.86552356,27.32369472,0.57924,19
MonteCarlo,25,3,25000,2500,0.38,39.01911054,14.11591324,24.9031973,0.55848,19
MonteCarlo,25,3,25000,2500,0.42,37.98296944,15.96201347,22.02095597,0.5394,19
MonteCarlo,25,3,25000,2500,0.46,37.55125638,17.686306,19.86495038,0.5178,19
MonteCarlo,25,3,25000,2500,0.5,37.5,18.931989,18.568011,0.5028,19
MonteCarlo,25,3,25000,2500,0.54,37.6348913,20.41669001,17.2182013,0.48776,19
MonteCarlo,25,3,25000,2500,0.58,38.016089,22.14829098,15.86779803,0.47076,19
MonteCarlo,25,3,25000,2500,0.62,38.42747449,23.41161603,15.01585846,0.4566,19
MonteCarlo,25,3,25000,2500,0.66,38.90830005,24.64146282,14.26683722,0.4454,19
MonteCarlo,25,3,25000,2500,0.7,39.77360649,26.51694658,13.25665991,0.43276,19
MonteCarlo,50,3,50000,5000,0.3,83.96061947,23.08465155,60.87596792,0.60308,54
MonteCarlo,50,3,50000,5000,0.34,80.28029815,25.81545784,54.4648403,0.58096,54
MonteCarlo,50,3,50000,5000,0.38,77.54045404,28.9124852,48.62796884,0.56086,56
MonteCarlo,50,3,50000,5000,0.42,75.89716272,32.08886544,43.80829728,0.54066,55
MonteCarlo,50,3,50000,5000,0.46,75.09968303,35.38820499,39.71147804,0.52276,55
MonteCarlo,50,3,50000,5000,0.5,75,38.37034448,36.62965552,0.5051,55
MonteCarlo,50,3,50000,5000,0.54,75.2975548,41.02805242,34.26950238,0.48616,56
MonteCarlo,50,3,50000,5000,0.58,76.12646581,44.66369325,31.46277255,0.47388,55
MonteCarlo,50,3,50000,5000,0.62,76.88637376,46.91311065,29.9732631,0.46262,55
MonteCarlo,50,3,50000,5000,0.66,77.92204442,49.53040166,28.39164276,0.44748,57
MonteCarlo,50,3,50000,5000,0.7,79.67381272,53.29236763,26.38144509,0.43474,55
MonteCarlo,100,3,100000,10000,0.3,171.0781596,44.39353521,126.6846244,0.60172,170
MonteCarlo,100,3,100000,10000,0.34,162.1661956,50.24990912,111.9162865,0.58218,170
MonteCarlo,100,3,100000,10000,0.38,155.7548324,56.9034299,98.85140253,0.55957,171
MonteCarlo,100,3,100000,10000,0.42,152.3819688,62.76930295,89.61266589,0.54172,171
MonteCarlo,100,3,100000,10000,0.46,150.4971054,69.13574203,81.36136339,0.52185,171
MonteCarlo,100,3,100000,10000,0.5,150,74.74292178,75.25707822,0.5041,170
MonteCarlo,100,3,100000,10000,0.54,150.4230767,80.85022029,69.5728564,0.49002,170
MonteCarlo,100,3,100000,10000,0.58,151.6765006,87.08304165,64.59345894,0.47325,171
MonteCarlo,100,3,100000,10000,0.62,153.6401164,93.44688054,60.19323586,0.45776,171
MonteCarlo,100,3,100000,10000,0.66,156.2350651,99.9784178,56.25664727,0.44488,170
MonteCarlo,100,3,100000,10000,0.7,159.1605857,106.2028624,52.95772325,0.43156,172
MonteCarlo,1,3,1000,100,0.3,1.736268626,0.4295988979,1.306669728,0.622,0
MonteCarlo,1,3,1000,100,0.34,1.689984264,0.4437337726,1.246250492,0.606,0
MonteCarlo,1,3,1000,100,0.38,1.58941229,0.5254627403,1.063949549,0.581,0
MonteCarlo,1,3,1000,100,0.42,1.541848563,0.58448252,0.9573660431,0.556,0
MonteCarlo,1,3,1000,100,0.46,1.514843964,0.6369535756,0.877890388,0.542,0
MonteCarlo,1,3,1000,100,0.5,1.5,0.7043629656,0.7956370344,0.511,0
MonteCarlo,1,3,1000,100,0.54,1.50148166,0.7892320233,0.7122496371,0.513,0
MonteCarlo,1,3,1000,100,0.58,1.513623114,0.8585974007,0.6550257129,0.479,0
MonteCarlo,1,3,1000,100,0.62,1.543139392,0.9537409387,0.589398453,0.48,0
MonteCarlo,1,3,1000,100,0.66,1.587988436,1.059955617,0.5280328185,0.453,0
MonteCarlo,1,3,1000,100,0.7,1.587295264,1.053227831,0.5340674332,0.445,0
MonteCarlo,5,3,5000,500,0.3,8.547465816,2.223300478,6.324165338,0.611,2
MonteCarlo,5,3,5000,500,0.34,8.099240815,2.520295847,5.578944968,0.5922,2
MonteCarlo,5,3,5000,500,0.38,7.75604108,2.888519584,4.867521496,0.5646,2
MonteCarlo,5,3,5000,500,0.42,7.616795497,3.143984706,4.47281079,0.5428,2
MonteCarlo,5,3,5000,500,0.46,7.503177245,3.576242056,3.926935189,0.5264,2
MonteCarlo,5,3,5000,500,0.5,7.5,3.809688259,3.690311741,0.5126,2
MonteCarlo,5,3,5000,500,0.54,7.530071775,4.105022344,3.425049431,0.4904,2
MonteCarlo,5,3,5000,500,0.58,7.614778541,4.474670152,3.140108389,0.479,2
MonteCarlo,5,3,5000,500,0.62,7.634912256,4.537650826,3.097261429,0.4646,2
MonteCarlo,5,3,5000,500,0.66,7.770938274,4.903128836,2.867809437,0.4554,2
MonteCarlo,5,3,5000,500,0.7,7.942121531,5.277664793,2.664456738,0.4366,2
MonteCarlo,10,3,10000,1000,0.3,16.89803142,4.557357324,12.3406741,0.6049,6
MonteCarlo,10,3,10000,1000,0.34,16.29721294,4.955671012,11.34154193,0.5823,5
MonteCarlo,10,3,10000,1000,0.38,15.44498887,5.868784163,9.576204704,0.5614,6
MonteCarlo,10,3,10000,1000,0.42,15.13806108,6.516929683,8.621131402,0.5436,5
MonteCarlo,10,3,10000,1000,0.46,15.03407712,6.999720865,8.034356256,0.525,5
MonteCarlo,10,3,10000,1000,0.5,15,7.449431284,7.550568716,0.5068,6
MonteCarlo,10,3,10000,1000,0.54,15.04977845,8.137389354,6.9123891,0.4902,6
MonteCarlo,10,3,10000,1000,0.58,15.18739532,8.785182699,6.40221262,0.4756,6
MonteCarlo,10,3,10000,1000,0.62,15.38335462,9.400011283,5.983343338,0.461,6
MonteCarlo,10,3,10000,1000,0.66,15.69911462,10.17529271,5.523821907,0.4405,6
MonteCarlo,10,3,10000,1000,0.7,15.85272011,10.49097022,5.361749888,0.4372,6
MonteCarlo,25,3,25000,2500,0.3,42.17804291,11.43110086,30.74694205,0.60216,19
MonteCarlo,25,3,25000,2500,0.34,40.18921828,12.86552356,27.32369472,0.57924,19
MonteCarlo,25,3,25000,2500,0.38,39.01911054,14.11591324,24.9031973,0.55848,19
MonteCarlo,25,3,25000,2500,0.42,37.98296944,15.96201347,22.02095597,0.5394,19
MonteCarlo,25,3,25000,2500,0.46,37.55125638,17.686306,19.86495038,0.5178,19
MonteCarlo,25,3,25000,2500,0.5,37.5,18.931989,18.568011,0.5028,19
MonteCarlo,25,3,25000,2500,0.54,37.6348913,20.41669001,17.2182013,0.48776,19
MonteCarlo,25,3,25000,2500,0.58,38.016089,22.14829098,15.86779803,0.47076,19
MonteCarlo,25,3,25000,2500,0.62,38.42747449,23.41161603,15.01585846,0.4566,19
MonteCarlo,25,3,25000,2500,0.66,38.90830005,24.64146282,14.26683722,0.4454,19
MonteCarlo,25,3,25000,2500,0.7,39.77360649,26.51694658,13.25665991,0.43276,19
MonteCarlo,50,3,50000,5000,0.3,83.96061947,23.08465155,60.87596792,0.60308,54
MonteCarlo,50,3,50000,5000,0.34,80.28029815,25.81545784,54.4648403,0.58096,55
MonteCarlo,50,3,50000,5000,0.38,77.54045404,28.9124852,48.62796884,0.56086,55
MonteCarlo,50,3,50000,5000,0.42,75.89716272,32.08886544,43.80829728,0.54066,55
MonteCarlo,50,3,50000,5000,0.46,75.09968303,35.38820499,39.71147804,0.52276,55
MonteCarlo,50,3,50000,5000,0.5,75,38.37034448,36.62965552,0.5051,55
MonteCarlo,50,3,50000,5000,0.54,75.2975548,41.02805242,34.26950238,0.48616,55
MonteCarlo,50,3,50000,5000,0.58,76.12646581,44.66369325,31.46277255,0.47388,55
MonteCarlo,50,3,50000,5000,0.62,76.88637376,46.91311065,29.9732631,0.46262,55
MonteCarlo,50,3,50000,5000,0.66,77.92204442,49.53040166,28.39164276,0.44748,55
MonteCarlo,50,3,50000,5000,0.7,79.67381272,53.29236763,26.38144509,0.43474,55
MonteCarlo,100,3,100000,10000,0.3,171.0781596,44.39353521,126.6846244,0.60172,169
MonteCarlo,100,3,100000,10000,0.34,162.1661956,50.24990912,111.9162865,0.58218,171
MonteCarlo,100,3,100000,10000,0.38,155.7548324,56.9034299,98.85140253,0.55957,172
MonteCarlo,100,3,100000,10000,0.42,152.3819688,62.76930295,89.61266589,0.54172,170
MonteCarlo,100,3,100000,10000,0.46,150.4971054,69.13574203,81.36136339,0.52185,172
MonteCarlo,100,3,100000,10000,0.5,150,74.74292178,75.25707822,0.5041,170
MonteCarlo,100,3,100000,10000,0.54,150.4230767,80.85022029,69.5728564,0.49002,171
MonteCarlo,100,3,100000,10000,0.58,151.6765006,87.08304165,64.59345894,0.47325,171
MonteCarlo,100,3,100000,10000,0.62,153.6401164,93.44688054,60.19323586,0.45776,171
MonteCarlo,100,3,100000,10000,0.66,156.2350651,99.9784178,56.25664727,0.44488,172
MonteCarlo,100,3,100000,10000,0.7,159.1605857,106.2028624,52.95772325,0.43156,170
MonteCarlo,1,3,1000,100,0.3,1.736268626,0.4295988979,1.306669728,0.622,0
MonteCarlo,1,3,1000,100,0.34,1.689984264,0.4437337726,1.246250492,0.606,0
MonteCarlo,1,3,1000,100,0.38,1.58941229,0.5254627403,1.063949549,0.581,0
MonteCarlo,1,3,1000,100,0.42,1.541848563,0.58448252,0.9573660431,0.556,0
MonteCarlo,1,3,1000,100,0.46,1.514843964,0.6369535756,0.877890388,0.542,0
MonteCarlo,1,3,1000,100,0.5,1.5,0.7043629656,0.7956370344,0.511,0
MonteCarlo,1,3,1000,100,0.54,1.50148166,0.7892320233,0.7122496371,0.513,0
MonteCarlo,1,3,1000,100,0.58,1.513623114,0.8585974007,0.6550257129,0.479,0
MonteCarlo,1,3,1000,100,0.62,1.543139392,0.9537409387,0.589398453,0.48,0
MonteCarlo,1,3,1000,100,0.66,1.587988436,1.059955617,0.5280328185,0.453,0
MonteCarlo,1,3,1000,100,0.7,1.587295264,1.053227831,0.5340674332,0.445,0
MonteCarlo,5,3,5000,500,0.3,8.547465816,2.223300478,6.324165338,0.611,2
MonteCarlo,5,3,5000,500,0.34,8.099240815,2.520295847,5.578944968,0.5922,2
MonteCarlo,5,3,5000,500,0.38,7.75604108,2.888519584,4.867521496,0.5646,3
MonteCarlo,5,3,5000,500,0.42,7.616795497,3.143984706,4.47281079,0.5428,2
MonteCarlo,5,3,5000,500,0.46,7.503177245,3.576242056,3.926935189,0.5264,2
MonteCarlo,5,3,5000,500,0.5,7.5,3.809688259,3.690311741,0.5126,2
MonteCarlo,5,3,5000,500,0.54,7.530071775,4.105022344,3.425049431,0.4904,2
MonteCarlo,5,3,5000,500,0.58,7.614778541,4.474670152,3.140108389,0.479,2
MonteCarlo,5,3,5000,500,0.62,7.634912256,4.537650826,3.097261429,0.4646,2
MonteCarlo,5,3,5000,500,0.66,7.770938274,4.903128836,2.867809437,0.4554,2
MonteCarlo,5,3,5000,500,0.7,7.942121531,5.277664793,2.664456738,0.4366,2
MonteCarlo,10,3,10000,1000,0.3,16.89803142,4.557357324,12.3406741,0.6049,5
MonteCarlo,10,3,10000,1000,0.34,16.29721294,4.955671012,11.34154193,0.5823,6
MonteCarlo,10,3,10000,1000,0.38,15.44498887,5.868784163,9.576204704,0.5614,5
MonteCarlo,10,3,10000,1000,0.42,15.13806108,6.516929683,8.621131402,0.5436,6
MonteCarlo,10,3,10000,1000,0.46,15.03407712,6.999720865,8.034356256,0.525,6
MonteCarlo,10,3,10000,1000,0.5,15,7.449431284,7.550568716,0.5068,6
MonteCarlo,10,3,10000,1000,0.54,15.04977845,8.137389354,6.9123891,0.4902,6
MonteCarlo,10,3,10000,1000,0.58,15.18739532,8.785182699,6.40221262,0.4756,6
MonteCarlo,10,3,10000,1000,0.62,15.38335462,9.400011283,5.983343338,0.461,6
MonteCarlo,10,3,10000,1000,0.66,15.69911462,10.17529271,5.523821907,0.4405,6
MonteCarlo,10,3,10000,1000,0.7,15.85272011,10.49097022,5.361749888,0.4372,6
MonteCarlo,25,3,25000,2500,0.3,42.17804291,11.43110086,30.74694205,0.60216,19
MonteCarlo,25,3,25000,2500,0.34,40.18921828,12.86552356,27.32369472,0.57924,19
MonteCarlo,25,3,25000,2500,0.38,39.01911054,14.11591324,24.9031973,0.55848,19
MonteCarlo,25,3,25000,2500,0.42,37.98296944,15.96201347,22.02095597,0.5394,19
MonteCarlo,25,3,25000,2500,0.46,37.55125638,17.686306,19.86495038,0.5178,19
MonteCarlo,25,3,25000,2500,0.5,37.5,18.931989,18.568011,0.5028,19
MonteCarlo,25,3,25000,2500,0.54,37.6348913,20.41669001,17.2182013,0.48776,19
MonteCarlo,25,3,25000,2500,0.58,38.016089,22.14829098,15.86779803,0.47076,19
MonteCarlo,25,3,25000,2500,0.62,38.42747449,23.41161603,15.01585846,0.4566,19
MonteCarlo,25,3,25000,2500,0.66,38.90830005,24.64146282,14.26683722,0.4454,19
MonteCarlo,25,3,25000,2500,0.7,39.77360649,26.51694658,13.25665991,0.43276,20
MonteCarlo,50,3,50000,5000,0.3,83.96061947,23.08465155,60.87596792,0.60308,55
MonteCarlo,50,3,50000,5000,0.34,80.28029815,25.81545784,54.4648403,0.58096,55
MonteCarlo,50,3,50000,5000,0.38,77.54045404,28.9124852,48.62796884,0.56086,55
MonteCarlo,50,3,50000,5000,0.42,75.89716272,32.08886544,43.80829728,0.54066,55
MonteCarlo,50,3,50000,5000,0.46,75.09968303,35.38820499,39.71147804,0.52276,55
MonteCarlo,50,3,50000,5000,0.5,75,38.37034448,36.62965552,0.5051,55
MonteCarlo,50,3,50000,5000,0.54,75.2975548,41.02805242,34.26950238,0.48616,55
MonteCarlo,50,3,50000,5000,0.58,76.12646581,44.66369325,31.46277255,0.47388,55
MonteCarlo,50,3,50000,5000,0.62,76.88637376,46.91311065,29.9732631,0.46262,55
MonteCarlo,50,3,50000,5000,0.66,77.92204442,49.53040166,28.39164276,0.44748,54
MonteCarlo,50,3,50000,5000,0.7,79.67381272,53.29236763,26.38144509,0.43474,56
MonteCarlo,100,3,100000,10000,0.3,171.0781596,44.39353521,126.6846244,0.60172,171
MonteCarlo,100,3,100000,10000,0.34,162.1661956,50.24990912,111.9162865,0.58218,170
MonteCarlo,100,3,100000,10000,0.38,155.7548324,56.9034299,98.85140253,0.55957,170
MonteCarlo,100,3,100000,10000,0.42,152.3819688,62.76930295,89.61266589,0.54172,170
MonteCarlo,100,3,100000,10000,0.46,150.4971054,69.13574203,81.36136339,0.52185,170
MonteCarlo,100,3,100000,10000,0.5,150,74.74292178,75.25707822,0.5041,171
MonteCarlo,100,3,100000,10000,0.54,150.4230767,80.85022029,69.5728564,0.49002,171
MonteCarlo,100,3,100000,10000,0.58,151.6765006,87.08304165,64.59345894,0.47325,170
MonteCarlo,100,3,100000,10000,0.62,153.6401164,93.44688054,60.19323586,0.45776,170
MonteCarlo,100,3,100000,10000,0.66,156.2350651,99.9784178,56.25664727,0.44488,170
MonteCarlo,100,3,100000,10000,0.7,159.1605857,106.2028624,52.95772325,0.43156,173
MonteCarlo,1,3,1000,100,0.3,1.73626828,0.4295985523,1.306669728,0.622,1
MonteCarlo,1,3,1000,100,0.34,1.689984626,0.4437341339,1.246250492,0.606,0
MonteCarlo,1,3,1000,100,0.38,1.589411907,0.5254623581,1.063949549,0.581,0
MonteCarlo,1,3,1000,100,0.42,1.541848812,0.5844827689,0.9573660431,0.556,0
MonteCarlo,1,3,1000,100,0.46,1.514843918,0.6369535299,0.877890388,0.542,0
MonteCarlo,1,3,1000,100,0.5,1.500000029,0.7043629946,0.7956370344,0.511,0
MonteCarlo,1,3,1000,100,0.54,1.501481499,0.7892318621,0.7122496371,0.513,0
MonteCarlo,1,3,1000,100,0.58,1.513623124,0.8585974109,0.6550257129,0.479,0
MonteCarlo,1,3,1000,100,0.62,1.543138975,0.9537405221,0.589398453,0.48,0
MonteCarlo,1,3,1000,100,0.66,1.587988204,1.059955386,0.5280328185,0.453,0
MonteCarlo,1,3,1000,100,0.7,1.587295169,1.053227736,0.5340674332,0.445,0
MonteCarlo,5,3,5000,500,0.3,8.547466536,2.223301198,6.324165338,0.611,10
MonteCarlo,5,3,5000,500,0.34,8.099242507,2.520297539,5.578944968,0.5922,10
MonteCarlo,5,3,5000,500,0.38,7.756042413,2.888520918,4.867521496,0.5646,10
MonteCarlo,5,3,5000,500,0.42,7.616796406,3.143985616,4.47281079,0.5428,10
MonteCarlo,5,3,5000,500,0.46,7.503178398,3.576243209,3.926935189,0.5264,10
MonteCarlo,5,3,5000,500,0.5,7.500001361,3.80968962,3.690311741,0.5126,10
MonteCarlo,5,3,5000,500,0.54,7.530073634,4.105024203,3.425049431,0.4904,10
MonteCarlo,5,3,5000,500,0.58,7.614779486,4.474671098,3.140108389,0.479,10
MonteCarlo,5,3,5000,500,0.62,7.634913213,4.537651783,3.097261429,0.4646,10
MonteCarlo,5,3,5000,500,0.66,7.770938643,4.903129206,2.867809437,0.4554,10
MonteCarlo,5,3,5000,500,0.7,7.942121625,5.277664886,2.664456738,0.4366,10
MonteCarlo,10,3,10000,1000,0.3,16.89803338,4.557359276,12.3406741,0.6049,39
MonteCarlo,10,3,10000,1000,0.34,16.29721286,4.955670935,11.34154193,0.5823,38
MonteCarlo,10,3,10000,1000,0.38,15.44499222,5.868787511,9.576204704,0.5614,38
MonteCarlo,10,3,10000,1000,0.42,15.13806424,6.516932835,8.621131402,0.5436,39
MonteCarlo,10,3,10000,1000,0.46,15.03407619,6.999719936,8.034356256,0.525,39
MonteCarlo,10,3,10000,1000,0.5,15.00000269,7.449433976,7.550568716,0.5068,40
MonteCarlo,10,3,10000,1000,0.54,15.04977845,8.137389347,6.9123891,0.4902,40
MonteCarlo,10,3,10000,1000,0.58,15.18739446,8.785181837,6.40221262,0.4756,38
MonteCarlo,10,3,10000,1000,0.62,15.38335489,9.40001155,5.983343338,0.461,40
MonteCarlo,10,3,10000,1000,0.66,15.69911384,10.17529193,5.523821907,0.4405,39
MonteCarlo,10,3,10000,1000,0.7,15.85271999,10.4909701,5.361749888,0.4372,40
MonteCarlo,25,3,25000,2500,0.3,42.17804109,11.43109903,30.74694205,0.60216,229
MonteCarlo,25,3,25000,2500,0.34,40.18921872,12.865524,27.32369472,0.57924,227
MonteCarlo,25,3,25000,2500,0.38,39.01911075,14.11591346,24.9031973,0.55848,226
MonteCarlo,25,3,25000,2500,0.42,37.98297101,15.96201504,22.02095597,0.5394,226
MonteCarlo,25,3,25000,2500,0.46,37.5512573,17.68630693,19.86495038,0.5178,226
MonteCarlo,25,3,25000,2500,0.5,37.49999616,18.93198516,18.568011,0.5028,227
MonteCarlo,25,3,25000,2500,0.54,37.63489042,20.41668913,17.2182013,0.48776,226
MonteCarlo,25,3,25000,2500,0.58,38.01608578,22.14828775,15.86779803,0.47076,226
MonteCarlo,25,3,25000,2500,0.62,38.42747381,23.41161535,15.01585846,0.4566,253
MonteCarlo,25,3,25000,2500,0.66,38.90829692,24.6414597,14.26683722,0.4454,227
MonteCarlo,25,3,25000,2500,0.7,39.77359607,26.51693616,13.25665991,0.43276,253
MonteCarlo,50,3,50000,5000,0.3,83.96063361,23.08466569,60.87596792,0.60308,929
MonteCarlo,50,3,50000,5000,0.34,80.28029697,25.81545667,54.4648403,0.58096,922
MonteCarlo,50,3,50000,5000,0.38,77.54041154,28.9124427,48.62796884,0.56086,921
MonteCarlo,50,3,50000,5000,0.42,75.89718446,32.08888717,43.80829728,0.54066,952
MonteCarlo,50,3,50000,5000,0.46,75.09969004,35.388212,39.71147804,0.52276,951
MonteCarlo,50,3,50000,5000,0.5,75.00001762,38.3703621,36.62965552,0.5051,935
MonteCarlo,50,3,50000,5000,0.54,75.29754874,41.02804636,34.26950238,0.48616,926
MonteCarlo,50,3,50000,5000,0.58,76.12645943,44.66368687,31.46277255,0.47388,927
MonteCarlo,50,3,50000,5000,0.62,76.88637759,46.91311448,29.9732631,0.46262,923
MonteCarlo,50,3,50000,5000,0.66,77.92204621,49.53040345,28.39164276,0.44748,927
MonteCarlo,50,3,50000,5000,0.7,79.67382213,53.29237704,26.38144509,0.43474,923
MonteCarlo,100,3,100000,10000,0.3,171.0781701,44.39354566,126.6846244,0.60172,4193
MonteCarlo,100,3,100000,10000,0.34,162.1662049,50.24991835,111.9162865,0.58218,4296
MonteCarlo,100,3,100000,10000,0.38,155.7548282,56.90342568,98.85140253,0.55957,4574
MonteCarlo,100,3,100000,10000,0.42,152.3819809,62.76931502,89.61266589,0.54172,4242
MonteCarlo,100,3,100000,10000,0.46,150.4970531,69.13568974,81.36136339,0.52185,4600
MonteCarlo,100,3,100000,10000,0.5,150.0000045,74.74292624,75.25707822,0.5041,4522
MonteCarlo,100,3,100000,10000,0.54,150.4230913,80.85023494,69.5728564,0.49002,4219
MonteCarlo,100,3,100000,10000,0.58,151.6765666,87.08310763,64.59345894,0.47325,4295
MonteCarlo,100,3,100000,10000,0.62,153.6401151,93.44687925,60.19323586,0.45776,4587
